	SXXY_W_4S	JSJH_P_2	AHHS_W_3	SXXY_W_4	HNSX_P_CK1	HNSX_W_10	AHSZ_W_5	AHHS_W_4S	HNSX_P_6S	HNSX_P_16	SXYZ_P_7	HBYX_P_5	AHSZ_W_4S	SXXY_W_3	HNSX_W_CK3	AHYX_P_5S	AHJZ_P_17	SXYZ_P_CK3	HBHM_W_6S	HNSX_W_20	JSTS_W_CK3	JSJH_P_CK2	HBYX_W_21S	SXXY_W_6S	HBHA_P_CK3	SXXY_W_2	HBHM_W_CK3	HBHA_P_CK1	JSTS_W_48S	AHJZ_P_21S	HBLT_W_4	HBHA_P_12S	HBLT_W_1	HBHM_W_CK2	JSTS_W_49	HNSX_W_8S	AHSZ_W_2	JSJR_P_6S	HBHA_P_9	SXYZ_P_15S	HNSX_W_18	HBHM_W_14	HBHM_W_9	HBHA_P_3	HBHA_P_4	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	JSTS_W_48	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	HBLT_W_5	JSTS_W_49S	AHHS_W_1	JSJH_P_8	HNSX_P_7S	HNSX_W_15	HBYX_P_5S	HNSX_P_CK3	AHJZ_P_21	HBYX_P_2	HBHM_W_CK1	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	JSTS_W_45	SXYZ_P_15	HNSX_P_20S	AHYX_P_18S	HNSX_W_CK1	SXYZ_P_CK1	HBHM_W_9S	HBYX_W_14	HBHM_W_6	JSTS_W_CK1	AHYX_P_18	HBYX_P_4S	JSJR_P_6	HBHA_P_3S	HNSX_P_3	SXXY_W_CK2	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSJH_P_CK1	HBHA_P_CK2	JSJH_P_CK3	JSTS_W_44S	HBHA_P_9S	HNSX_P_CK2	AHYX_P_9	HBYX_W_21	SXXY_W_6	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSTS_W_44	HBHM_W_1	AHJZ_P_CK3	AHSZ_W_3	JSJH_P_4	JSJR_P_14S	AHJZ_P_CK1	HBLT_W_3	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	AHYX_P_5	HNSX_W_8	SXYZ_P_13S	JSJH_P_5S	JSJR_P_3	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HNSX_P_20	HNSX_P_6	AHHS_W_2	HBLT_W_3S	HBYX_W_17	JSTS_W_CK2	SXXY_W_3S	AHSZ_W_5S	AHSZ_W_4	JSTS_W_47S	HNSX_W_20S	HBYX_P_4	HBHA_P_4S	AHJZ_P_CK2	JSJR_P_5	SXXY_W_2S	SXYZ_P_13	JSJH_P_3S	JSJR_P_14	AHHS_W_1S	HBLT_W_2	HNSX_P_7	HBYX_P_2S	JSJH_P_5	HNSX_W_15S	AHHS_W_4	AHSZ_W_1	SXXY_W_CK3	HNSX_P_16S	AHJZ_P_13	HBHA_P_12	SXYZ_P_CK2	AHYX_P_9S	JSJH_P_3	JSJR_P_5S	SXXY_W_CK1	AHJZ_P_17S	JSTS_W_47	HBYX_P_1	HBYX_P_1S	HBHA_P_2	JSTS_W_45S	HBYX_P_3	SXXY_W_1	HNSX_W_CK2	HBYX_P_3S	HBHM_W_14S	AHYX_P_7	JSJH_P_4S
g__norank_o__Subgroup_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
g__norank_o__Subgroup_2	0	6	109	0	0	0	350	370	69	0	18	0	869	5	2704	127	16	0	126	11	158	468	0	0	40	0	853	29	233	217	140	109	82	596	32	486	103	71	46	0	30	108	168	41	1	2	467	1097	566	15	0	553	6	145	513	7	24	69	4	0	18	0	0	762	23	2492	109	1510	0	0	61	38	697	0	706	35	136	143	0	0	33	93	41	0	38	224	1027	228	22	388	365	129	0	0	4	5	407	718	940	33	123	167	116	0	6	502	45	344	53	480	0	214	0	999	10	188	38	2	4	0	106	526	28	101	40	1091	7	257	524	0	116	172	27	0	24	639	5	461	286	7	0	36	276	139	49	0	18	0	82	1	127	0	47	0	221	0	40	0	31	246	15	21	1158	0	2145	27	678
g__Acidicapsa	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
g__Edaphobacter	0	0	1	4	0	2	6	17	0	0	0	0	17	0	13	0	0	0	6	0	11	4	11	0	0	0	15	0	36	0	0	0	19	18	0	19	0	0	0	0	5	8	13	0	0	0	21	31	17	0	0	31	0	32	12	0	0	16	2	0	0	0	0	26	0	17	6	5	0	0	5	0	15	0	21	0	3	28	1	0	17	0	0	3	4	20	5	0	0	0	4	0	0	0	0	0	6	0	27	0	0	0	6	0	0	0	0	26	0	8	0	21	0	16	14	26	0	0	0	4	3	13	0	13	0	37	0	17	5	0	0	0	5	0	0	16	0	16	322	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	0	0	14	0	44	0	27
g__Granulicella	0	0	2	0	0	23	58	25	0	0	0	0	76	0	52	0	0	0	23	959	15	10	0	0	11	0	44	0	68	4	27	19	0	37	0	141	10	6	0	0	0	19	16	0	0	0	61	141	43	0	0	193	0	128	29	0	0	0	0	0	0	0	0	36	6	33	2	74	2	0	7	0	137	0	68	0	0	26	0	0	3	3	0	0	0	54	35	13	15	0	59	27	0	0	0	0	27	60	100	0	2	10	27	0	0	14	0	30	0	66	10	124	0	38	15	42	7	0	1	3	5	96	0	10	16	145	9	53	178	0	12	0	5	0	0	42	0	21	201	4	0	0	9	12	0	0	0	0	0	0	7	0	0	0	14	0	0	0	4	26	0	0	204	0	42	0	25
g__Occallatibacter	0	4	26	0	0	0	91	44	0	0	0	0	9	0	23	0	0	0	5	0	12	0	0	0	28	0	17	45	14	29	0	0	0	11	0	18	0	0	0	0	0	3	3	0	0	0	47	27	11	0	0	33	0	0	0	0	5	7	0	0	0	0	0	14	0	8	0	0	0	0	0	0	38	0	38	2	5	12	0	0	21	7	0	0	0	17	22	11	7	24	5	14	0	0	0	0	7	0	32	0	5	0	42	0	0	22	10	32	0	0	0	38	0	26	0	0	0	0	2	0	4	16	0	6	0	39	3	13	0	0	16	10	0	0	0	39	0	57	12	0	0	0	3	0	0	0	0	0	0	0	12	0	0	0	26	0	0	0	5	7	0	0	117	0	12	0	38
g__Silvibacterium	0	0	0	0	0	0	4	0	0	0	0	0	8	0	4	0	0	0	0	51	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	23	2	0	57	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
g__Terracidiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Terriglobus	0	6	10	0	0	0	5	4	0	0	7	0	0	1	0	0	41	0	0	18	0	0	0	0	0	0	0	0	0	20	3	0	24	0	0	0	0	5	11	0	0	0	0	50	10	0	0	0	2	0	0	0	0	53	0	5	0	3	0	0	0	22	0	0	0	2	3	0	0	0	0	8	0	0	0	0	0	0	6	0	32	0	8	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	10	11	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	52	0	0	0	0	0	0	8	11
g__norank_f__Acidobacteriaceae_(Subgroup_1)	0	0	2	0	0	5	31	24	4	0	0	0	119	0	266	4	0	0	27	25	15	93	0	0	242	0	31	163	42	66	8	106	0	68	0	84	0	0	0	0	0	0	28	0	15	0	48	87	42	0	0	169	0	31	19	0	0	6	3	0	0	0	0	33	49	139	1	39	0	20	9	0	150	0	33	0	14	17	1	0	0	81	0	0	0	40	98	64	137	160	43	82	0	0	0	1	33	40	92	17	20	50	55	0	0	91	19	41	41	45	0	37	0	92	0	58	0	0	0	0	0	85	5	15	0	240	3	48	87	0	117	123	0	0	0	109	0	37	32	1	0	0	83	7	3	0	0	0	0	0	10	0	0	0	69	0	0	0	3	18	0	0	129	0	42	0	135
g__unclassified_f__Acidobacteriaceae_(Subgroup_1)	0	0	5	12	0	0	49	30	2	0	17	0	28	0	95	9	27	0	3	155	5	29	0	4	70	0	18	100	26	33	0	36	0	43	0	12	0	0	0	0	0	5	2	13	3	0	76	86	17	7	0	136	0	6	40	0	3	19	0	0	0	0	0	0	6	22	6	15	6	0	6	0	37	2	0	2	3	1	0	0	58	6	21	0	0	13	32	27	116	11	10	8	0	0	0	5	0	27	86	0	5	5	47	0	0	0	36	37	7	0	0	286	0	25	0	22	7	0	0	0	4	25	0	0	7	71	12	33	56	0	30	16	21	0	0	24	0	23	30	8	0	0	36	0	5	5	0	0	10	0	0	0	0	0	18	0	0	0	0	20	0	0	0	0	0	0	10
g__Candidatus_Koribacter	0	0	2	0	0	0	12	47	0	0	0	0	41	0	12	15	0	0	18	0	0	3	0	0	19	0	15	13	0	11	0	21	11	8	0	18	0	0	0	0	0	0	0	0	2	0	63	0	14	0	0	0	0	1	8	0	0	0	0	0	4	0	0	8	20	2	8	13	0	0	6	11	34	0	6	0	0	0	0	0	0	23	0	0	10	7	0	6	12	8	19	35	0	0	0	0	2	20	45	0	0	8	3	0	0	21	0	29	0	0	0	11	0	12	0	0	0	0	0	0	6	0	0	8	0	28	12	13	0	0	34	8	7	0	0	25	0	31	11	2	0	0	4	5	0	0	0	0	21	0	11	0	4	0	11	0	0	0	0	6	0	0	0	0	0	0	10
g__norank_o__Terriglobales	0	0	52	0	12	2	176	182	57	0	9	0	607	0	386	290	6	0	162	0	54	464	0	0	653	24	308	433	114	471	80	760	38	230	0	130	5	76	0	0	0	24	29	2	0	0	186	218	203	0	0	316	0	38	176	7	48	14	17	0	49	0	0	280	248	628	73	267	0	0	34	99	306	6	133	25	41	52	0	0	43	604	19	0	110	155	275	312	437	505	169	585	21	0	7	0	49	179	221	10	5	277	28	0	1	444	8	55	119	141	0	115	0	357	0	136	32	0	1	1	16	94	22	32	10	135	0	126	28	0	712	386	7	0	0	466	4	195	96	3	0	95	80	16	70	0	7	0	0	0	274	0	20	0	380	2	0	0	0	113	5	0	211	0	233	0	411
g__unclassified_o__Terriglobales	0	0	2	0	10	2	6	0	0	0	0	0	77	0	13	6	0	0	18	0	7	42	0	0	145	0	77	50	17	13	0	26	0	37	0	0	0	0	0	0	0	0	7	0	0	1	8	18	13	0	0	20	0	0	24	0	0	0	0	0	0	0	0	61	25	25	6	28	0	0	3	0	0	0	53	6	0	8	0	0	8	48	0	0	0	0	45	18	78	0	15	76	5	0	0	0	0	14	17	0	2	14	7	0	5	28	0	0	12	7	0	0	0	55	2	75	5	5	0	0	3	4	0	5	0	0	0	11	0	0	82	22	0	0	0	29	0	0	0	0	0	0	0	2	0	0	0	0	0	1	7	0	3	0	14	0	0	0	0	3	0	0	16	0	59	0	44
g__unclassified_c__Acidobacteriae	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0
g__norank_o__11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Holophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Holophagaceae	0	3	0	8	0	0	0	0	0	6	8	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	24	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	26	0	0	0	0	0	0	0	0	0	5	0	0	0	13	0	0	0	0	0	0	4	3	0	0	0	12	0	0	0	0	0	0
g__unclassified_f__Holophagaceae	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__Subgroup_7	0	0	0	5	27	0	0	0	8	0	0	0	0	0	0	22	0	41	0	0	9	2	29	0	0	0	3	0	0	11	0	0	0	0	0	0	0	9	0	16	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	30	0	19	0	5	0	0	0	0	0	0	15	7	67	4	0	7	0	0	13	0	2	0	8	47	0	1	0	0	0	0	0	40	4	0	0	0	0	0	0	0	0	0	0	16	5	0	0	28	0	0	0	17	0	0	0	6	29	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	15	0	0	0	11	39	0	9	0	9	0	0	0	0	0	0	0	0	0	3	6	17
